Scheme,Description,Agency,Image,Link,Who's it for,What it gives,Scheme Type,search_booster(WL)
WeCare @ North East Fund,"The We Care @ North East Fund aims to help needy families who require interim financial support, but do not meet the national gross household income criteria. The scheme provides assistance in the form of once-off or up to three months of cash assistance.",North East CDC,https://chidnast.sirv.com/SchemesSG/necdc.jpg,https://northeast.cdc.gov.sg/programmes/financial-and-social-assistance/wecare-at-north-east/,North East Resident,Financial assistance,"Family,Children,Low Income","Financial assistance, poor, low income, need money to buy daily needs, food, hungry, Malay Muslim"
North East Growth Fund,"The North East Growth Fund was set up to provide formula milk and diapers to young children up to 6 years old. By defraying the costs of these essentials, the wellbeing and good health of our little ones are not compromised.",North East CDC,https://chidnast.sirv.com/SchemesSG/necdc.jpg,https://northeast.cdc.gov.sg/programmes/financial-and-social-assistance/north-east-growth-fund/,"Low income,Children",Vouchers for purchase of milk and diapers,"Children,Low Income","milk, diapers, baby, children"
Family services,"Casework management and counselling including pre-marital counselling, marriage counselling, couple therapy, single parent support, housing matters, communication & conflict management, mediation",NuLife Care & Counselling Services,https://chidnast.sirv.com/SchemesSG/nulife.jpg,https://nulife.com.sg/counselling/,Families,"Casework,Counselling,Referral",Family,"casework, counselling, family, individual, social service, going through a divorce, need someone to talk to"
Elderly services,"Suicide intervention, befriender services, handling elderly abuse, equipment for empowered living, tribunal for maintenance of parents, marriage enrichment counselling, grief and loss counselling, palliative and end-of-life care and support, depression, dementia.",NuLife Care & Counselling Services,https://chidnast.sirv.com/SchemesSG/nulife.jpg,https://nulife.com.sg/counselling/,Elderly,"Casework,Counselling,Referral","Elderly,Mental Health,End-of-Life","healthcare, elderly, dementia, caregivers, befriending, elderly has dementia and needs counselling, chronic health problems elderly, elderly cannot cope with dementia, elderly is alone and depressed, old person depression, father depression, mother depression, isolated senior needs befriending and visit, son has conflict with father, children are abusive to parents, don't know what to do with life, sad, depression"
Children and youth services,"Children and youth services, particularly for at-risk youth and children. Includes suicide intervention, parent child mediation, handling beyond parental control, youth at risk services, befriender projects, workshops for probationers, services for children with special needs, and financial support for school pocket money and supplies.",NuLife Care & Counselling Services,https://chidnast.sirv.com/SchemesSG/nulife.jpg,https://nulife.com.sg/counselling/,"Children,Youth-at-risk,Youth on probation","Casework,Befriender services,Educational programmes for youth at-risk","Children,Youth-at-Risk,Mental Health","Child is rebellous, child hit parent, youth bullying, youth, teenager, teenage angst, hard to control teenage child, cyberbullied, cyberbullying"
Services for individuals,"Suicide intervention, emotional support, mid-career counselling, assessment of self-harm, depression, addiction counselling, gender identity issues, abusive relationships",NuLife Care & Counselling Services,https://chidnast.sirv.com/SchemesSG/nulife.jpg,https://nulife.com.sg/counselling/,In need of mental healthcare,"Casework,Befriender services,Emotional care,Counselling",Mental Health,"counselling, psycho-therapy, mental health, suicidal thoughts"
Legal Counselling,"Mediation and negotiation, deed of separation, application of personal protection order, divorce and ancillary legal matters, magistrate complaint, legal aid referral, small claim tribunal matters, maintenance, custody matters",NuLife Care & Counselling Services,https://chidnast.sirv.com/SchemesSG/nulife.jpg,https://nulife.com.sg/counselling/,In need of legal aid,Legal services,Legal Aid,"Divorce, PPO, public protection order, legal, law"
ONE Emergency Fund,"The ONE Emergency Fund disburses financial and in-kind assistance to low-income individuals and families who urgently need help. The fund was established to help individuals who need assistance, but cannot find it elsewhere, or cannot obtain it in time.",ONE Singapore,https://chidnast.sirv.com/SchemesSG/onesingapore.jpg,https://www.onesingapore.org/programmes,Low income,Financial assistance,Low Income,"Financial assistance, money for daily expenses, household needs, cash for daily needs, urgent assistance, Comcare"
ONE Livelihoods Fund,"The ONE Livelihoods Fund promotes self-reliance, entrepreneurship and training to reduce inequalities and foster well-being for vulnerable individuals and families in Singapore. It supports the goal of Decent Work and enables workers and their families to earn their own livelihood or obtain better-paying employment. 
",ONE Singapore,https://chidnast.sirv.com/SchemesSG/onesingapore.jpg,https://www.onesingapore.org/programmes,"Low income, employment",Employment support,"Low income, employment",
ONE Fresh Food Programme,"The ONE Fresh Food Programme provides healthy and fresh groceries to families in need of assistance. Our volunteers purchase eggs, vegetables, fruit, fish, chicken and other healthy food items at neighbourhood stores, and deliver them to beneficiary families. Volunteers often purchase and deliver supermarket vouchers, too. Applicants apply for OFFP assistance via the ONE Emergency Fund. ",ONE Singapore,https://chidnast.sirv.com/SchemesSG/onesingapore.jpg,https://www.onesingapore.org/programmes,"Low income,food,support",Food support,"Low income,food,support",
PAVE Integrated Services for Individual and Family Protection Specialist Centre,"PAVE is an integrated service for family violence and child protection. PAVE provides services for persons who abuse, survivors and vulnerable family members such as children and the elderly in dealing with violence.",PAVE,https://chidnast.sirv.com/SchemesSG/pave.jpg,https://pave.org.sg/our-services/,Facing abuse,Protection against violence,Family Violence,"Family violence, abusive spouse, husband hit, wife hit, hit my kid, protect my child from him"
Pertapis Centre for Women and Girls,"Provides residential care for young women victim of abuse, coming from dysfunctional families or in conflict with the law. The centre offers shelter, care and protection to 100 women from 14 to 21 years old. We run a variety of programs to facilitate self development, confidence building & life skills development.",Pertapis,https://chidnast.sirv.com/SchemesSG/pertapis.jpg,https://www.pertapis.org.sg/welfare-homes,"Youth-at-risk,Women,Homeless","Housing,Educational programmes,Emotional care,Befriending","Abuse,Women,Children,Youth-at-Risk,Education","domestic abuse, abusive parents, need place to stay, violent father/mother, kick out of house, homeless teenager, homeless girl, shelter"
Casework and Counselling,"PPIS serves clients who face marital issues, family violence, child management, parenting concerns and other general concerns. PPIS As-Salaam has garnered 30 years of experience specializing in working with Malay/Muslim single parent families. Appointed by MSF as a Divorce Support Specialist Agency. It provides casework and counselling services for families facing issues related to divorce, such as divorce decision-making, achieving positive co-parenting and issues related to single parenting.",PPIS As-Salaam,https://chidnast.sirv.com/SchemesSG/ppis.jpg,https://ppis.sg/family-counselling-and-therapy,"Malay/Muslim,Children,Single Parent,Families","Casework,Counselling",Families,"malay, muslim, family violence, abuse, divorce, single parent/father/mother, separation, child custody, family court, child support maintenance, argument over children, couple counselling, family quarrel, baby"
Salaam,"PPIS serves clients who face marital issues, family violence, child management, parenting concerns and other general concerns. PPIS As-Salaam has garnered 30 years of experience specializing in working with Malay/Muslim single parent families. Salaam is a support programme for children/adolescents who have experienced parental divorce or death.",PPIS As-Salaam,https://chidnast.sirv.com/SchemesSG/ppis.jpg,https://ppis.sg/as-salaam,"Malay/Muslim,Children,Youth-at-risk","Counselling,Emotional care","Children,Youth-at-risk,Loss of Breadwinner","malay, muslim, children grief counselling, mother/father/parent just died, youth counseling, orphan, bereavement, death in the family, sudden death"
Fostering Services,"PPIS serves Malay/Muslim clients who face marital issues, family violence, child management, parenting concerns and other general concerns. PPIS Oasis – Centre for Fostering, is the third national fostering agency established in 2017, promoting family-based care of foster children in need.",PPIS Oasis,https://chidnast.sirv.com/SchemesSG/ppis.jpg,https://ppis.sg/oasis,"Malay/Muslim,Children,Families,Youth-at-risk,Caregiver","Casework,Counselling,Emotional care,Educational programmes","Children,Family,Childcare,Caregiver,Youth-at-risk","malay, muslim, parenting, foster child, fostering, new child in family, adoption, bond with foster family, workshop"
